,filepath,center_x,center_y,bb_width,bb_height
51,./VOC2007/Annotations/car_511.xml,0.56125,0.53,0.1425,0.06666666666666667
299,./VOC2007/Annotations/car_183.xml,0.526,0.809593023255814,0.38,0.10755813953488372
191,./VOC2007/Annotations/car_599.xml,0.37625,0.5833333333333334,0.0575,0.02666666666666667
115,./VOC2007/Annotations/car_661.xml,0.49,0.46111111111111114,0.5566666666666666,0.15333333333333332
625,./VOC2007/Annotations/car_330.xml,0.8925,0.5059760956175299,0.05,0.0398406374501992
76,./VOC2007/Annotations/car_448.xml,0.51875,0.5067796610169492,0.8975,0.5796610169491525
146,./VOC2007/Annotations/car_411.xml,0.735,0.7266666666666667,0.06,0.04
349,./VOC2007/Annotations/car_143.xml,0.5433884297520661,0.5241228070175439,0.35537190082644626,0.15350877192982457
428,./VOC2007/Annotations/car_379.xml,0.5625,0.6767676767676768,0.24,0.10101010101010101
27,./VOC2007/Annotations/car_665.xml,0.5,0.6333333333333333,0.29,0.1288888888888889
116,./VOC2007/Annotations/car_107.xml,0.5042857142857143,0.5184331797235023,0.7914285714285715,0.7050691244239631
84,./VOC2007/Annotations/car_299.xml,0.49875,0.44666666666666666,0.2175,0.16666666666666666
239,./VOC2007/Annotations/car_210.xml,0.5632911392405063,0.4632768361581921,0.5780590717299579,0.3446327683615819
503,./VOC2007/Annotations/car_241.xml,0.5584745762711865,0.4785714285714286,0.588135593220339,0.48857142857142855
177,./VOC2007/Annotations/car_389.xml,0.31156316916488225,0.9033333333333333,0.2291220556745182,0.08666666666666667
128,./VOC2007/Annotations/car_516.xml,0.30375,0.6216666666666667,0.4025,0.37
634,./VOC2007/Annotations/car_93.xml,0.3010610079575597,0.7254098360655737,0.29973474801061006,0.22950819672131148
91,./VOC2007/Annotations/car_267.xml,0.4425,0.73125,0.115,0.05416666666666667
445,./VOC2007/Annotations/car_186.xml,0.5008333333333334,0.6201780415430267,0.34833333333333333,0.142433234421365
511,./VOC2007/Annotations/car_268.xml,0.8575,0.7816326530612245,0.285,0.15918367346938775
586,./VOC2007/Annotations/car_131.xml,0.45984848484848484,0.46875,0.23484848484848486,0.11342592592592593
75,./VOC2007/Annotations/car_474.xml,0.576271186440678,0.5047770700636943,0.15254237288135594,0.06687898089171974
338,./VOC2007/Annotations/car_4.xml,0.535964035964036,0.6856127886323268,0.6563436563436563,0.5932504440497336
400,./VOC2007/Annotations/car_608.xml,0.855,0.75,0.145,0.07894736842105263
643,./VOC2007/Annotations/car_250.xml,0.54125,0.5895522388059702,0.1275,0.08208955223880597
653,./VOC2007/Annotations/car_79.xml,0.68701171875,0.6484375,0.2822265625,0.109375
366,./VOC2007/Annotations/car_208.xml,0.531,0.6340782122905028,0.446,0.1787709497206704
262,./VOC2007/Annotations/car_616.xml,0.685,0.6246458923512748,0.385,0.13314447592067988
619,./VOC2007/Annotations/car_326.xml,0.815,0.8148854961832062,0.095,0.05725190839694656
617,./VOC2007/Annotations/car_454.xml,0.465,0.8875,0.185,0.14166666666666666
